Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
165,each,20000,6125971718.3,37961173.01134257,163202442.0,1047010.1203242862,2268878.4141851855,14059.693707904655,60445.34888888889,387.7815260460319
166,for_removal,20000,1422094032.9,8998647.644656578,21541215.7,161886.89349669573,526701.4936666667,3332.832460983918,7978.228037037037,59.9581087024799
167,find_collisions,10764,7189767631.3,50063300.33631197,230638426.3,2813472.0829316042,2662876.9004814816,18541.963087522952,85421.63937037038,1042.0266973820756
168,_CollisionDetector.handle_new_frame,200,122639874209.5,632301973.4034882,8023426.8,126302.33741621714,45422175.63314815,234185.916075366,2971.6395555555555,46.77864348748783
169,_CollisionDetector.init,1,21473.6,3206.345130321569,19709.0,3116.9310479852993,7.953185185185185,1.187535233452433,7.29962962962963,1.154418906661222
170,_is_in_voxel,435072,67291620048.9,326937879.11343473,7639279115.5,44485319.042898946,24922822.240333334,121088.1033753462,2829362.6353703705,16476.044089962572
171,_put_into_map,51884,23663305936.7,133851134.2518729,741328236.3,5918053.600808254,8764187.383962963,49574.49416736033,274566.01344444446,2191.8717040030574
172,_recurse,435072,279971679475.8,1397029248.5629165,1561751811.9,9792462.764887556,103693214.62066667,517418.2402084876,578426.5970000001,3626.8380610694653
173,lambda,20000,103851565878.7,522075500.7469595,14955418.5,223418.0297270237,38463542.918037035,193361.29657294796,5539.043888888889,82.74741841741618
174,each,41120,1898867925.0,12398015.082945017,148023479.2,1961872.719171248,703284.4166666666,4591.857438127784,54823.510814814814,726.6195256189807
175,_reduce_collision_set,200,107076455352.5,540929159.0389569,3792420.5,61086.61078854825,39657946.426851854,200344.13297739145,1404.6001851851852,22.624670662425277
176,_voxel_hash,20000,854551387.3,7621951.86232006,383437658.1,3618927.3680502744,316500.5138148148,2822.9451341926147,142013.94744444446,1340.3434696482498
177,_draw_motion_on_voxel_map,20000,103836610460.2,521971120.33820534,108158492.7,979171.2081020967,38458003.874148145,193322.63716229828,40058.701,362.65600300077654
178,_Motion.init-values,20000,17574623.2,122871.24573805301,17574623.2,122871.24573805301,6509.119703703704,45.50786879187149,6509.119703703704,45.50786879187149
179,_Motion.delta,21528,306772302.7,4526985.136355186,55304882.3,1039397.1363207102,113619.37137037037,1676.6611616130317,20483.28974074074,384.9619023410038
180,_Motion.find_intersection,10764,4901672794.9,33666403.933764294,392726455.3,3316266.90582429,1815434.3684814814,12469.038493986776,145454.2427037037,1228.2470021571444
181,_Motion.init,20000,18448178.7,134199.03179551093,18448178.7,134199.03179551093,6832.658777777778,49.70334510944849,6832.658777777778,49.70334510944849
182,_Aircraft.init-values,20000,13098821.0,87982.58708463387,13098821.0,87982.58708463387,4851.415185185185,32.58614336467921,4851.415185185185,32.58614336467921
183,_Aircraft.init,20000,12211474.2,100353.1165601071,12211474.2,100353.1165601071,4522.768222222222,37.16782094818782,4522.768222222222,37.16782094818782
184,_Simulator.init-values,1,16992554.5,313761.52049597685,1256714.4,36649.99684698774,6293.5387037037035,116.2079705540655,465.44977777777774,13.574072906291756
185,_Simulator.simulate,200,3471932309.8,24364109.670561764,382581701.5,3378487.7607371663,1285900.8554814816,9023.744322430282,141696.9264814815,1251.2917632359874
186,_Simulator.init,1,26059.3,2148.5225547852765,22440.4,1949.1068507881946,9.651592592592593,0.7957490943649173,8.31125925925926,0.7218914262178499
187,CD._benchmark,1,126135490924.2,654844283.0595814,2504547.1,67372.67539971814,46716848.490444444,242534.9196516968,927.610037037037,24.952842740636346
188,CD.inner_benchmark_loop,1,126135533766.9,654844620.1226143,8391.7,401.1700125225816,46716864.358111106,242535.04448985713,3.1080370370370374,0.14858148611947466
189,CD._verify_result,1,34451.0,1447.442826795623,5478.7,420.7103141367616,12.759629629629629,0.5360899358502307,2.029148148148148,0.15581863486546726
