# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
167,each,93,!=,6007,9962245.2,125787.79962326708,3689.720444444444,46.58807393454337
167,each,171,recalc,3002,1072929597.7,6945912.064903824,397381.3324814815,2572.5600240384533
167,each,211,_BinaryConstraint.is_satisfied,3002,6234354.3,64919.91839432901,2309.020111111111,24.044414220121855
167,each,222,_UnaryConstraint.is_satisfied,3,734.5,34.88250956689055,0.272037037037037,0.01291944798773724
168,_Planner._constraints_consuming,112,Vector.for_each,3007,1660105223.1,10947388.872332904,614853.7863333334,4054.588471234409
169,_Planner._new_mark,43,lambda-43,3014,9962317.9,115106.62865447866,3689.7473703703704,42.632084686843946
170,each,110,Vector.append,3,385710.7,14936.130553301386,142.8558148148148,5.531900204926439
170,each,211,_BinaryConstraint.is_satisfied,6004,12884180.8,98683.09578998218,4771.918814814815,36.549294737030436
170,each,222,_UnaryConstraint.is_satisfied,3,1342.6,242.15879957277275,0.49725925925925923,0.08968844428621213
171,recalc,110,Vector.append,3002,1018081842.4,6704186.6489375485,377067.34903703706,2483.032092199092
171,recalc,218,_BinaryConstraint.get_output,3002,5518103.8,62403.272609527026,2043.742148148148,23.112323188713713
171,recalc,219,_BinaryConstraint.recalculate,1000,8207843.6,85532.14682728481,3039.942074074074,31.678572898994375
171,recalc,241,_ScaleConstraint.recalculate,2002,36368221.5,303019.4484846587,13469.711666666666,112.2294253646884
173,_Planner._remove_propagate_from,101,not,3012,642423.1,17571.969298917684,237.93448148148147,6.50813677737692
173,_Planner._remove_propagate_from,104,vector_with,5,331664.5,11138.008777439343,122.8387037037037,4.125188436088646
173,_Planner._remove_propagate_from,111,Vector.is_empty,3012,9860385.4,126323.75841063895,3651.9945925925927,46.78657718912554
173,_Planner._remove_propagate_from,112,Vector.for_each,3007,97660117.3,839484.0391263585,36170.41381481481,310.9200144912439
173,_Planner._remove_propagate_from,116,Vector.remove_first,3007,55716595.4,489792.01849898044,20635.776074074074,181.40445129591868
173,_Planner._remove_propagate_from,123,Vector.sort,5,206287.4,8670.358266136289,76.40274074074074,3.2112438022726995
173,_Planner._remove_propagate_from,127,Vector.init,5,10525.2,717.3566682436876,3.8982222222222225,0.2656876549050695
173,_Planner._remove_propagate_from,168,_Planner._constraints_consuming,3007,1663675443.6,10950600.673149407,616176.0902222221,4055.778027092373
175,_Planner_chain_test,43,lambda-43,3102,11566631.6,128618.83462075073,4283.93762962963,47.63660541509286
175,_Planner_chain_test,65,list.get,2202,10620422.3,139025.51447660348,3933.489740740741,51.49093128763092
175,_Planner_chain_test,66,list.set,1001,2674067.7,42965.20107825331,990.3954444444445,15.913037436390114
175,_Planner_chain_test,93,!=,100,591660.8,24326.326794777626,219.13362962962964,9.009750664732454
175,_Planner_chain_test,94,<,1102,10383122.3,150463.57416475122,3845.600851851852,55.7272496906486
175,_Planner_chain_test,95,<=,1002,9715098.3,87127.75502740672,3598.184555555556,32.269538899039524
175,_Planner_chain_test,104,vector_with,1,47539.8,13680.021651260182,17.607333333333333,5.066674685651919
175,_Planner_chain_test,105,empty_vec,1,20004021.8,263234.7117471205,7408.896962962963,97.4943376841187
175,_Planner_chain_test,155,_Plan.execute,100,3036906655.5,7815881.646691316,1124780.2427777778,2894.770980256043
175,_Planner_chain_test,160,_Planner.extract_plan_from_constraints,1,611848206.6,3744270.545345783,226610.4468888889,1386.7668686465863
175,_Planner_chain_test,174,_Planner.init,1,1826.8,326.194904603787,0.6765925925925925,0.12081292763103223
175,_Planner_chain_test,194,_AbstractConstraint.destroy_constraint,1,504461627.7,2485840.0556004206,186837.6398888889,920.6815020742298
175,_Planner_chain_test,209,_AbstractConstraint.init,1002,436963.4,21237.484310331554,161.8382962962963,7.865734929752428
175,_Planner_chain_test,220,_BinaryConstraint.init,1000,932758.4,29613.10356901947,345.4660740740741,10.967816136673878
175,_Planner_chain_test,221,_UnaryConstraint.init-values,2,543318950.1,2757111.864769686,201229.2407777778,1021.1525425072911
175,_Planner_chain_test,231,_UnaryConstraint.init,2,5869.3,655.6524352044105,2.173814814814815,0.2428342352608928
175,_Planner_chain_test,234,_EqualityConstraint.init-values,1000,545380375.9,3339782.9153511976,201992.73181481482,1236.9566353152584
175,_Planner_chain_test,244,_Variable.init-values,1001,58031213.4,412837.3409259138,21493.041999999998,152.90271886144956
175,_Planner_chain_test,247,_Variable.init,1001,1682446.8,35736.83865145324,623.1284444444444,13.235866167204904
176,_Planner_projection_test,43,lambda-43,2998,4141933.7,46330.03287069842,1534.0495185185187,17.159271433592007
176,_Planner_projection_test,44,lambda-44,2000,1549922.5,26497.510825497724,574.0453703703704,9.81389289833249
176,_Planner_projection_test,87,+,3996,15739714.2,150909.76452227455,5829.5237777777775,55.8925053786202
176,_Planner_projection_test,89,*,1998,7387556.1,86551.11211660458,2736.1318888888886,32.05596745059429
176,_Planner_projection_test,93,!=,2000,18902336.3,232081.73985929065,7000.865296296297,85.95619994788542
